utterance_id	speaker_id	target_id	utterance_text
88	P00347	P00002	Sr. Presidente, Sr. e Srs. Deputados: Hoje, encerramos um percurso. Encerramos um percurso que demorou tempo demais. Em relação a um dos diplomas vetados, aliás, tivemos de andar um bocadinho atrás num percurso que já tínhamos dado por fechado, demonstrando que não há debates sobre direitos fundamentais que, felizmente, se possam dar por definitivamente arrumados. Mas, mesmo aí, hoje, voltamos a encerrar uma página, voltamos a dar um passo em frente, onde antes tínhamos recuado. Por isso, hoje é um dia bom para a democracia, é um dia bom para a clarificação democrática, porque permite aos cidadãos perceber a diferença entre quem vai confirmar este veto e quem não vai confirmar este veto. É um dia bom, porque permite demonstrar por que é que não podemos acompanhar as considerações do Sr. Presidente da República. Em primeiro lugar, porque o debate parlamentar realizado foi amplo, esclarecedor, teve por base um debate científico, um debate académico, um debate na sociedade civil dos mais ricos que este Parlamento já viu. E, Sr. e Srs. Deputados, apesar de ter sido um debate que assentou no tema da coadoção, o tema fundamental discutido foi o da homoparentalidade, a capacidade de os casais do mesmo sexo poderem ou não adotar.
89	P00001	P00347	Já ultrapassou o seu tempo.
90	P00347	P00002	Vou terminar, Sr. Presidente. Mantemos firme a vontade democrática de dar passos para proteger juridicamente todas as famílias, sem qualquer exceção, e mantemos firme a vontade de aprofundar os direitos fundamentais em Portugal, derrubando o derradeiro, o último obstáculo neste longo percurso. Não fica tudo feito, subsistem outras discriminações, há muito trabalho pela frente. Mas quanto a este trabalho, que tanto custou a este Parlamento e que tanto custou às famílias deste País que tiveram de aguardar por esta resposta, hoje, finalmente — pensei poder já tê-lo dito antes —, reitero o que tinha dito na altura: peço desculpa pela demora, em nome da República Portuguesa, e espero, uma vez mais, que a vossa paciência e a vossa dignidade sejam finalmente recompensadas com esta votação.
91	P00001	P00002	Chegámos ao fim da reapreciação destes Decretos. Vamos, de seguida, passar à votação, que terá de ser eletrónica e, concomitantemente, por levantados e sentados. Começamos pelo Decreto da Assembleia da República n.º 6/XIII — Revogação das Leis n. 134/2015, de 7 de setembro, relativa ao pagamento de taxas moderadoras na interrupção voluntária da gravidez, e
92	P00572	P00001	Peço a palavra, Sr. Presidente.
93	P00001	P00572	Para que efeito, Sr.ª Deputada?
94	P00572	P00001	Sr. Presidente, é para anunciar que apresentarei uma declaração de voto sobre esta votação, à semelhança do que já havia feito na votação anterior deste mesmo Decreto.
95	P00001	P00572	Fica registado, Sr.ª Deputada. Peço aos Srs. Deputados que queiram anunciar a apresentação de declarações de voto o façam no fim das duas votações. Sr. Deputado Luís Montenegro, vejo que pede a palavra. Para que efeito?
96	P00312	P00001	Sr. Presidente, é só para fazer notar e para que a Mesa registe que os 19 Deputados do Bloco de Esquerda intervieram na votação eletrónica.
97	P00001	P00002	Sr. Deputado, pedi para serem considerados nos resultados os três Deputados do Bloco de Esquerda que informaram a Mesa que não puderam registar-se eletronicamente. O Sr. Deputado Pedro Filipe Soares também pede a palavra, mas devo dizer-lhe que estamos no meio de votações.
98	P00330	P00001	Sr. Presidente, entre a indicação que foi dada pelos Deputados e a confirmação eletrónica houve um reinício do sistema, pelo que foi possível votarem eletronicamente. Por isso, foram contabilizados apenas 19 votos e não mais do que isso.
99	P00001	P00002	Segue-se o Decreto da Assembleia da República n.º 7/XIII — Elimina as discriminações no acesso à adoção, apadrinhamento civil e demais relações jurídicas familiares, procedendo à segunda alteração à Lei n.º 7/2001, de 11 de maio, à primeira alteração à Lei n.º 9/2010, de 31 de maio, à vigésima terceira alteração ao Código do Registo Civil, aprovado pelo Decreto-Lei n.º 131/95, de 6 de junho, e à primeira alteração ao Decreto-Lei n.º 121/2010, de 27 de outubro. Vamos também votar a confirmação deste Decreto.
100	P00596	P00001	Peço a palavra, Sr. Presidente.
101	P00001	P00596	Para que efeito, Sr. Deputado?
102	P00596	P00001	Sr. Presidente, é para anunciar que apresentarei uma declaração de voto, conforme fiz no passado.
103	P00001	P00596	Fica registado, Sr. Deputado.
104	P00380	P00001	Sr. Presidente, peço a palavra.
105	P00001	P00380	Sr. Deputado, é para o mesmo efeito?
106	P00380	P00001	Sim, Sr. Presidente, é também para anunciar que apresentarei uma declaração de voto.
107	P00001	P00002	Srs. Deputados, passamos ao segundo ponto da nossa ordem do dia, que consta de um debate temático sobre ciência, requerido pelo PS. Aproveito para cumprimentar os Membros do Governo presentes. Em primeiro lugar, tem a palavra, para uma intervenção, o Sr. Deputado Alexandre Quintanilha.
108	P00597	P00002	Sr. Presidente, Sr. Ministro e Srs. Secretários de Estado, Sr. e Srs. Deputados: Permita-me, Sr. Presidente, que, na primeira vez que uso da palavra neste Plenário, comece por agradecer aos que me elegeram para lhes poder dar voz aqui e hoje. Há 25 anos que acompanho de perto a aposta que o nosso País fez na promoção da ciência e do conhecimentopara a construção do seu futuro. Esta aposta permitiu que, no curto espaço de uma geração, Portugal saísse da cauda da Europa para claramente ultrapassar a média dos países da OCDE em todos os indicadores: na quantidade e na qualidade do conhecimento produzido, no número de novos investigadores, na internacionalização das instituições científicas, na divulgação desse conhecimento e na inovação tecnológica. Surgiram massas críticas novas — centros e institutos — em vários domínios do saber e concretizou-se um sistema de avaliação externa credível. O Ciência Viva marcou milhares de jovens e muitos de nós. Aproximaram-se as escolas das instituições de investigação e assistiu-se, pela primeira vez, a uma real circulação de cérebros com algumas das mais prestigiadas instituições a nível mundial. Esta história de sucesso foi mais do que reconhecida e admirada por esse mundo fora. E se vários governos, incluindo o do PSD, se podem orgulhar deste sucesso, o seu principal obreiro foi o Ministro Mariano Gago.
109	P00001	P00002	Há vários Deputados inscritos para colocar perguntas ao Sr. Ministro da Ciência, Tecnologia e Ensino Superior, mas, para isso, o Sr. Ministro tem de fazer uma intervenção. Pausa.
110	P00598	P00002	Sr. Presidente, Sr. e Srs. Deputados: Foi certamente um privilégio ouvir o Deputado Alexandre Quintanilha fazer um breve historial da evolução científica e tecnológica portuguesa. De facto, o compromisso político, social e económico da ciência está hoje bem endogeneizado na cultura e na sociedade portuguesas, e sabemos como recuperámos, ao longo dos últimos 30 anos, o nosso atraso crónico científico. Também de uma forma inédita, soubemos, nos últimos anos, como é possível alterar as políticas de ciência e quebrar, efetivamente, a rutura nesse compromisso com a sociedade. Sr. Deputado Alexandre Quintanilha, deixe-me, desde já, responder claramente às perguntas que me deixou sobre os desafios e o processo, sobre o qual falarei em primeiro lugar. Faz hoje exatamente dois meses que lançámos um processo inédito em Portugal de debate público sobre o futuro da Fundação para a Ciência e a Tecnologia como estrutura central na arquitetura do sistema científico e tecnológico nacional. Esse debate público veio a resultar num conjunto de contributos particularmente vasto que envolveu centenas de investigadores e de cidadãos e que hoje está disponível, com vários contributos, no portal do Governo. Concluímos esse processo hoje, esta manhã, com a tomada de posse da nova direção da Fundação para a Ciência e a Tecnologia, num processo que certamente foi feito de forma a credibilizar a confiança entre os investigadores e a comunidade científica e a própria Fundação. É um processo longo e complexo, mas estamos certos de que a nova direção começou da melhor forma. Foi assim que esta manhã, na tomada de posse, definimos uma carta de princípios para o futuro da Fundação para a Ciência e a Tecnologia, a qual terei oportunidade de entregar formalmente neste Parlamento. No âmbito dessa carta de princípios, definimos como primeira prioridade para a nova direção da FCT um novo quadro de avaliação da qualidade científica e da atividade científica em Portugal, o que será feito no decurso das próximas semanas. Ao definirmos um novo conceito para a avaliação, esperamos, claramente, retomar um novo ciclo no desenvolvimento científico português, em que o financiamento e a avaliação serão efetivamente definidos e construídos em estreita ligação com as ambições da comunidade científica e as ambições dos portugueses. Estamos certos de que o futuro é diferente do passado recente e que a concretização do Orçamento para 2016 irá certamente transmitir a Portugal uma mudança na área da ciência e da tecnologia.
111	P00001	P00002	Sr. Ministro, a Mesa regista a inscrição, para pedidos de esclarecimentos, de oito Srs. Deputados. Entretanto, o Sr. Ministro informou a Mesa de que pretende responder quatro a quatro. Sendo assim, tem a palavra, para pedir esclarecimentos, a Sr.ª Deputada Margarida Balseiro Lopes.
112	P00599	P00598	Sr. Presidente, Sr. Ministro da Ciência, Tecnologia e Ensino Superior, ouvimos, ao longo dos últimos quatro anos, uma autêntica máquina de propaganda a anunciar a destruição do sistema científico português. Acusava a esquerda que o anterior Governo tinha arrasado completamente a investigação e o ensino superior em Portugal. Pois bem, chegou um tempo novo, uma oportunidade para fazer da ciência uma prioridade, nomeadamente através do Orçamento do Estado. Então, Sr. Ministro, explique a esta Assembleia e aos portugueses por que razão decidiu, à última hora, retirar o tema sobre o ensino superior deste debate. Será porque existe uma diminuição das verbas em 15 milhões de euros para o ensino superior e para a ação social? Será por isto? Pergunto-lhe também o seguinte: como é que explica o corte no orçamento da FCT? É que, com o Governo socialista, há, de facto, um corte de quase 1 milhão de euros no orçamento da FCT.
113	P00001	P00002	Para pedir esclarecimentos, tem a palavra o Sr. Deputado Luís Monteiro.
114	P00600	P00598	Sr. Presidente, Sr. Ministro da Ciência, Tecnologia e Ensino Superior, a proeza da anterior governação foi a de conseguir colocar a ciência em Portugal para lá do abismo. A queda livre deu-se quando o investimento na educação e no ensino superior caiu para os valores de 2004. Desde 2002 que os valores das bolsas não são atualizados. Os cortes nas bolsas de doutoramento e pós-doutoramento chegaram aos 65%, o que nos transporta para realidades de 1994, e a FCT foi tornada num pântano. O concurso Investigador FCT respondeu a 14% das candidaturas, o que provocou despedimentos coletivos e a descontinuação das linhas de investigação. Não sabemos exatamente quais foram os peritos que aplaudiram estas políticas, mas com certeza não foram os investigadores em Portugal.
115	P00520	P00600	Muito bem!
116	P00600	P00598	As taxas de execução dos últimos concursos da FCT para financiamento de projetos de investigação foram de 12% em 2012 e de 13% em 2014. A precariedade invadiu a política científica, e aí não há peritos que consigam desmentir estes números. A FCT tornou-se, por culpa das políticas de direita, numa hipotética política de investimento que, na verdade, era escassa e era uma miragem. Mas a verdade é que o dia 4 de outubro trouxe novas oportunidades e trouxe também a possibilidade de um Orçamento do Estado com outras medidas, com uma avaliação diferente para a FCT. A pergunta que gostaria de colocar ao Sr. Ministro é a seguinte: com esta nova janela aberta, que políticas e que esperança podem ter os investigadores em Portugal e a FCT?
117	P00001	P00002	Para pedir esclarecimentos, tem a palavra a Sr.ª Deputada Ana Rita Bessa.
118	P00601	P00002	Sr. Presidente, começava por saudar o Sr. Ministro e a Sr.ª Secretária de Estado, nesta primeira vez que aos dois me dirijo, e por fazer nota que o ensino superior, ao contrário do não superior, tem gozado de uma certa estabilidade e, até diria, de alguma tranquilidade conseguidas com o trabalho persistente, sério e exigente de muitos, como, de resto, vem citado no Programa do Governo do PS e,
119	P00001	P00602	Tem a palavra, para concluir este primeiro grupo de quatro pedidos de esclarecimento, a Sr. Deputada Ana Virgínia Pereira.
120	P00602	P00002	Sr. Presidente, Srs. Membros do Governo, Sr. e Srs. Deputados, Portugal tem vindo a sofrer ao longo dos sucessivos Governos um défice estrutural no que diz respeito ao financiamento e ao funcionamento do sistema científico e tecnológico nacional (SCTN), um financiamento responsável pela regressão do potencial científico e tecnológico do País. Na verdade, e ao contrário do que os sucessivos Governos têm tentado fazer crer, a situação tem vindo a degradar-se, mesmo a agudizar-se, pela ação do anterior Governo, do PSD/CDS. O discurso sobre o elevado número de investigadores por cada 1000 habitantes no ativo não corresponde inteiramente à verdade e muito menos a uma efetiva valorização da carreira de investigação e outras, nomeadamente a de técnico, fundamentais para o funcionamento do SCTN. O respeito pelos trabalhadores da ciência pode medir-se pela forma como os bolseiros têm vindo a ser tratados, mas pode igualmente medir-se pela valorização ou não dos investigadores de carreira e dos restantes trabalhadores. Sr. Ministro, quer nos laboratórios de Estado quer nas instituições de ensino superior existem ainda técnicos superiores que já obtiveram o grau de doutor e que aguardam o cumprimento das promessas que o anterior Governo lhes fez. Quando pensa o Governo poder abrir um concurso interno para o devido provimento destes trabalhadores, com o seu ingresso na carreira de investigação? Também por todos os laboratórios de Estado e instituições de ensino superior, conjugando as limitações à contratação e o congelamento das carreiras, temos um importante número de investigadores que deviam já ser «investigador principal» ou «investigador coordenador», mas que continuam na primeira categoria. Não só este bloqueio contribui para desequilibrar a pirâmide profissional, como se alia ao envelhecimento muito significativo do corpo de investigação, com sério prejuízo para o fluxo geracional que é tão determinante no quadro de passagem de conhecimento do SCTN. Sr. Ministro, acerca destas situações, pergunto que medidas tomará o Governo para o rejuvenescimento dos quadros de investigação em Portugal e para o desbloqueio da progressão nas carreiras.
121	P00001	P00598	Tem a palavra, para responder a este primeiro grupo de quatro pedidos de esclarecimento, o Sr. Ministro da Ciência, Tecnologia e Ensino Superior, Manuel Heitor.
122	P00598	P00002	Sr. Presidente, Sr. e Srs. Deputados, agradeço a profundidade das perguntas e a oportunidade que me dão para esclarecer estas questões. Sr.ª Deputada Margarida Balseiro Lopes, não sei onde é que esteve, sinceramente, nem que orçamento é que leu. Primeiro de tudo, vamos ver bem qual foi a execução de 2015 na FCT. Ao contrário do que disse, do valor inicial de 468 milhões de euros orçamentados, só foram executados em 2015 370 milhões. Há muitos anos que a FCT não tinha uma execução tão baixa. Percebemos que tal se deve, sobretudo, à falta de capacidade de o anterior Governo executar receitas comunitárias.
123	P00370	P00598	Já lá vamos!
124	P00598	P00002	Mas, em todo o caso, há muitos anos que não tinha a execução da FCT tão baixa. Também não percebo bem a que Orçamento se referiu. Sei, e todos reconhecemos, que a leitura dos mapas do Orçamento é complexa. Não se esqueça de que tem de somar as receitas extraorçamentais. Efetivamente, o Orçamento da FCT para 2016, que está para discussão em sede desta Assembleia, ultrapassa pela primeira vez, desde há muitos anos, os 500 milhões de euros.
125	P00603	P00598	Desde 2009!
126	P00598	P00002	E se juntarmos o funcionamento ao investimento, atinge 502 milhões de euros, um aumento de 4, 6% relativamente à dotação inicial de 2015. No entanto, se olharmos para o que foi a execução, o aumento é, efetivamente, de 32%. Podemos dizer que, de facto, estamos perante um Orçamento de mudança. Está longe do que gostávamos, mas pela primeira vez vamos ter a possibilidade de alterar a diminuição contínua e sistemática dos últimos cinco anos. Como já aqui foi dito hoje, nesta Assembleia, entre 2010 e 2014, os dados estatísticos oficiais mostram bem a diminuição em 530 milhões de euros no investimento, dos quais 200 milhões no setor público. Vamos garantir que 2016 seja a alteração certa a essa variação. Mas, obviamente, há vida para além do Orçamento — e agradeço a intervenção do Sr. Deputado Luís Monteiro. É certamente com prazer que hoje aqui apresentamos a carta de princípios para o futuro da FCT, a qual ilustra e representa as nossas principais orientações para a política científica de um futuro próximo, nomeadamente através das orientações dadas à FCT. Restabelecer a confiança na comunidade científica passa, sobretudo, e antes de mais, por estabelecer os princípios para uma política de acesso aberto. E hoje, aqui, também apresentamos os princípios para essa mesma política de acesso aberto onde, obviamente, antes de mais, queremos valorizar o conhecimento como um bem público, a bem do desenvolvimento da sociedade portuguesa. Para além disso, percebemos que é crítico alargar a base social do conhecimento e, por isso, lançamos, também hoje, os princípios para um novo programa de estímulo à atividade de investigação e desenvolvimento no ensino politécnico em associação com o desenvolvimento das regiões e, por isso, em estreita ligação com o desenvolvimento económico e com iniciativas de inovação regional. Mas o Orçamento e as medidas para o futuro incluem mais: incluem, sobretudo, autonomia, mais autonomia. De facto, respondendo também, desde já, às questões da Sr.ª Deputada Ana Virgínia Pereira, devo dizer que num contexto de crescente contenção orçamental, que é o que nos foi exigido, e apesar do que é a mudança significativa nos orçamentos nesta área de 2006, asseguramos uma estratégia de contínuo e sistemático relacionamento entre o ensino superior e a ciência e tecnologia, nomeadamente através da abertura às contratações no ensino superior. Desde os últimos quatro anos, pela primeira vez — vejam bem no articulado da lei —, temos um articulado flexível que, obviamente, no quadro de um rigoroso controlo orçamental, irá possibilitar, efetivamente, as contratações nas instituições de ensino superior e libertar, de certa forma, todos os constrangimentos que foram dados. Devo dizer à Sr.ª Deputada Ana Bessa que, obviamente, o teto que pusemos no Orçamento é particularmente positivo. E porquê? Porque durante os Governos PSD/CDS o abandono de docentes no ensino superior foi de tal forma que 1100 docentes abandonaram o ensino superior entre 2010 e 2015. Por isso, agora, ao pôr como teto o valor máximo dos últimos três anos, temos certamente uma abertura considerável para a contratação. Mas devo dizer que, mais do que isso, e mais do que impor tetos, este foi um processo negocial com as instituições e, em particular, com o conselho de reitores das universidades portugueses, assim como com o conselho coordenador dos institutos politécnicos. É essa harmonia, é esse diálogo, é essa reposição da confiança nas instituições que estamos creditar. E para nós não há ciência sem ensino superior nem há ensino superior sem ciência. É, efetivamente, essa amálgama no desenvolvimento social e na construção social de um Portugal mais moderno e mais justo a que, acreditamos, a ciência e o ensino superior estão efetivamente ligados.
127	P00001	P00604	Segue-se um novo conjunto de pedidos de esclarecimento ao Sr. Ministro. Em primeiro lugar, para o efeito, tem a palavra a Sr.ª Deputada Laura Magalhães.
128	P00604	P00598	Sr. Presidente, Sr. e Srs. Deputados, Sr. Ministro, no passado dia 29 de dezembro, o conselho diretivo da Fundação para a Ciência e Tecnologia, entregou ao Sr. Ministro uma carta de renúncia ao seu mandato. Em causa estava a suspensão do lançamento de todas as iniciativas da FCT anteriormente planeadas. O Sr. Ministro suspendeu os concursos de programas para a formação avançada, já anteriormente calendarizados e anunciados à comunidade científica; o concurso nacional para projetos não abriu, e recordo que o anterior Governo iniciou, em 2012, os programas de doutoramento em ambiente empresarial, sendo que temos atualmente sete programas com mais de 40 empresas e sete universidades envolvidas. Atualmente, apenas 3% dos doutorados estão nas empresas, muito longe da média europeia que se situa nos 30%. Apesar desta disparidade de 3% em Portugal, em comparação com os 30% da média europeia, o Sr. Ministro, mais uma vez, suspendeu os programas doutorais em ambiente empresarial. Como pensa, então, o Sr. Ministro garantir a competitividade? Como pretende com essas decisões garantir a sustentabilidade e a previsibilidade no funcionamento das instituições? É desta forma, num período de grande incerteza no mundo científico, que o Sr. Ministro garante a confiança no sistema tecnológico e científico? O Sr. Ministro criou um grupo de reflexão sobre o futuro da FCT constituído por cientistas conhecidos, mas pergunto: quais é que foram os critérios para a sua seleção? Por que é que, por exemplo, não foram também considerados os bolseiros de investigação ou alguém da anterior direção da FCT? De que tem medo, Sr. Ministro? O Sr. Ministro fez ainda saber que pretende uma nova avaliação das unidades de investigação. Sr. Ministro, não acredita na investigação feita? O que é que pretende? É que, Sr. Ministro, como houve avaliações para a frente e avaliações para trás, cancelamento de concursos e novas nomeações, torna-se difícil fazer ciência em Portugal. E, já agora, o Sr. Ministro também falou na execução do orçamento de 2015, mas qual é que foi a execução em 2008, 2009, 2010, 2011 e 2012?
129	P00001	P00605	Para pedir esclarecimentos, tem a palavra a Sr.ª Deputada Joana Mortágua.
130	P00605	P00002	Sr. Presidente, Sr. Ministro, Srs. Secretários de Estado, saúdo as mudanças que já foram anunciadas no âmbito da FCT. A FCT é uma entidade pública que tem como objetivo promover continuadamente o avanço do conhecimento científico e tecnológico em Portugal. A FCT e o Governo, pela sua via, têm, portanto, a capacidade de decidir na investigação se avançamos a galope ou se avançamos aos tropeções, o que, no panorama internacional, marca a diferença entre ser atropelado ou marcar o rito. A FCT tem, por isso, capacidade de decidir entre a excelência e a mediocridade, mas uma coisa é certa: não se pode exigir resultados de excelência quando só se se oferece condições de trabalho medíocres.
131	P00317	P00605	Muito bem!
132	P00605	P00002	As questões do calendário são importantes e saúdo as alterações que já foram também anunciadas sobre a previsibilidade dos calendários dos concursos para que, no futuro, os candidatos possam, pelo menos, saber quantas vagas é que abrem para a bolsa a que estão a concorrer.
133	P00317	P00605	Muito bem!
134	P00605	P00002	Portanto, se a ideia é deixar de marcar passo para começar a marcar o passo na investigação e na ciência estamos de acordo, mas é preciso saber, em concreto, se vamos deixar de ter falsas bolsas para esconder o desemprego, quando é que o Governo vai converter bolsas em contratos com estabilidade e qual é a disponibilidade deste Governo para descongelar o valor das bolsas que está congelado desde 2001.
135	P00001	P00588	Para pedir esclarecimentos, tem a palavra a Sr.ª Deputada Diana Ferreira.
136	P00588	P00598	Sr. Presidente, Srs. Membros do Governo, Srs. Deputados, Sr. Ministro, nenhum sistema público de investigação e ciência pode construir-se com base na desvalorização do trabalho, na imposição de trabalho não remunerado e na ausência de direitos fundamentais no trabalho e na vida. Mas este é o dia a dia de milhares de trabalhadores científicos que, respondendo a necessidades permanentes das instituições, vão passando de bolsa em bolsa, anos a fio e quantos não são os que continuam como bolseiros há 10, 15 e, mesmo, 20 anos. Esta é a realidade da precariedade, da incerteza, de quem não sabe se terá bolsa de investigação no ano seguinte ou que bolsa terá. Mais: é a realidade de quem não sabe quando irá receber a bolsa, porque os inaceitáveis atrasos no pagamento de bolsas têm sido recorrentes. É a realidade de quem vive, por força dessa instabilidade laboral, em instabilidade pessoal e familiar permanentes. É a realidade de quem não vê o valor da bolsa atualizado há mais de 14 anos, de quem não tem direito a subsídio de férias ou de Natal e de quem não tem direito a proteção social no desemprego ou na doença. Ao longo dos anos, as opções políticas têm passado pelo sucessivo recurso à bolsa, assim se impedindo o acesso e a integração na carreira de investigação, assim se pagando a um custo muito baixo mão-de-obra altamente qualificada e assim se desrespeitado os direitos destes trabalhadores. É absolutamente fundamental — e é isso que o PCP entende — a melhoria das condições de trabalho e a dignificação das carreiras na área do trabalho científico, num caminho de respeito pelos direitos destes profissionais e num caminho absolutamente indispensável para a dinamização e valorização do Sistema Científico e Tecnológico Nacional. Foi exatamente neste sentido que o PCP entregou, hoje, uma iniciativa legislativa que revoga o atual Estatuto do Bolseiro de Investigação e cria contratos integrados numa carreira de investigador em formação. Sr. Ministro, há demasiados anos que estes profissionais veem os seus direitos adiados. Qual é o compromisso do Governo, qual é a forma e quais os prazos para responder, efetivamente, às preocupações há muito manifestadas pelos bolseiros de investigação científica?
137	P00001	P00317	Para pedir esclarecimentos, tem a palavra o Sr. Deputado José Manuel Pureza.
138	P00317	P00002	Sr. Presidente, Srs. Membros do Governo, Sr. e Srs. Deputados, Sr. Ministro, é absolutamente prioritário recuperar a confiança da comunidade científica que se sentiu sob ataque e profundamente desvalorizada nos últimos quatro anos por um processo de avaliação sem a mínima seriedade e com violação sistemática das obrigações contratuais assumidas pelo Estado com as unidades de investigação e desenvolvimento.
139	P00330	P00317	É verdade!
140	P00317	P00598	O processo de avaliação intercalar levado a cabo pela FCT durante o mandato do Governo anterior foi inventado para eliminar do financiamento cerca de metade dos centros e, assim, condená-los ao desaparecimento — aliás, isso mesmo constava do contrato com a entidade encarregada de fazer a avaliação, a European Science Foundation. A avaliação foi apenas uma enorme trapalhada: painéis de avaliadores sem credibilidade e sem abrangência científica, regras e prazos a mudarem constantemente… Tudo isto para terminar numa redução do financiamento na ordem dos 30 a 40 milhões de euros. Impõe-se, portanto, ultrapassar este episódio indigno. É tempo de termos uma política de ciência que respeite e que motive a comunidade científica e que não parta da desconfiança e do divórcio com as e os fazedores de ciência. Para isso, Sr. Ministro e Sr.ª Secretária de Estado, Sr. e Srs. Deputados, o Bloco de Esquerda aponta três exigências fundamentais: em primeiro lugar, um sistema de avaliação que seja elaborado com os contributos da própria comunidade científica; em segundo lugar, a credibilização do processo de avaliação, através de painéis internacionais, que conheçam a realidade portuguesa em matéria de ciência e que sejam compostos por pessoas de indiscutível competência; e, finalmente, em terceiro lugar, um processo de avaliação que seja isso mesmo, um processo de avaliação das unidades de investigação e desenvolvimento e não um processo dissimulado de cálculo de financiamento. Sr. Ministro e Sr.ª Secretária de Estado, a minha pergunta é esta: que garantias nos podem trazer hoje de que a comunidade científica pode agora ser avaliada com rigor, com isenção, tendo sempre em vista o reforço das instituições de ciência e não a sua destruição?
141	P00001	P00598	Para responder, tem a palavra o Sr. Ministro da Ciência, Tecnologia e Ensino Superior.
142	P00598	P00604	Sr. Presidente, Sr. e Srs. Deputados, permitam-me que comece por responder à Sr.ª Deputada Laura Magalhães dizendo-lhe, para clarificar, que não houve nenhuma renúncia da direção da FCT. O mandato da direção terminou e o que fizemos, de uma forma democrática e aberta, foi, ainda antes do termo do mandato, nomeadamente há dois meses, abrir um processo de consulta pública a todas as instituições, reitores, presidentes de politécnicos, investigadores, estudantes, sindicatos, conselhos científicos da própria FCT e criámos também um grupo de reflexão para estimular esse processo — aliás, foi um processo participado, como nunca tinha sido feito, sobre o futuro da FCT. Portanto, não suspendemos nenhum programa. Se tem essa informação, ela é, com certeza, falsa. Nada está suspenso, as bolsas continuam. Apenas abrimos um processo democrático de debate sobre o futuro da Fundação para a Ciência e Tecnologia.
143	P00370	P00598	Então, suspenderam o concurso e dizem que não há suspensão?!
144	P00598	P00370	É com confiança que se cria mais proximidade e é com mais proximidade que se combate a incerteza que referia. E, por amor de Deus, se se refere à execução de 2008, deve estar esquecida…
145	P00370	P00598	Diga as execuções de 2009 e de 2010!
146	P00598	P00002	Entre 2006 e 2010, o investimento global na ciência, em Portugal, aumentou de 0,6% do PIB para 1,6%.
147	P00370	P00598	Responda à pergunta!
148	P00598	P00002	A Fundação para a Ciência e Tecnologia em 2006 tinha uma execução de 220 milhões e chegámos a 2010 com uma execução de 489 milhões. Sr.ª Deputada, nunca tinha crescido tanto!
149	P00370	P00598	Não responde à pergunta!
150	P00598	P00002	E, Srs. Deputados, obviamente que eu poderia fazer minhas as palavras do Deputado José Manuel Pureza quando disse que a avaliação se faz, certamente, com muito determinismo, com rigor, com credibilização. Foram estes os termos que passámos à nova direção da Fundação para a Ciência e Tecnologia, dando a primeira prioridade ao estabelecimento de um novo contrato. Mas temos mais: para além dos números e dos termos da avaliação, acreditamos que temos de valorizar o conhecimento como um bem público. E para vos falar um pouco sobre a noção de uma verdadeira política de ciência aberta, pediria autorização ao Sr. Presidente para passar a palavra à Sr.ª Secretária de Estado Fernanda Rollo.
151	P00001	P00606	Tem a palavra, Sr.ª Secretária de Estado da Ciência, Tecnologia e Ensino Superior.
152	P00607	P00002	Sr. Presidente, é, de facto, essa a diferença: procurarmos um conhecimento aberto a todos com o desafio de que isso significa a valorização do que a nossa ciência faz em Portugal, do que a nossa ótima investigação tem produzido em Portugal. Como disse o Sr. Ministro, lançámos hoje as bases, os princípios para uma política nacional de ciência aberta, que é um processo ambicioso e que, desde logo, procura democratizar, partilhar com todos o acesso a esse conhecimento. De que nos serve que ele esteja fechado nas gavetas, que esteja enclausurado nas universidades, que esteja fechado nos escritórios dos investigadores? Cada vez mais ele tem de ser necessário, tem de estar ao serviço da sociedade e os desafios que esta lhe coloca são crescentes. Acresce que é essa também a diferença: no fundo, garantir que aquilo que é financiado com investimento público é partilhado e devolvido à sociedade e que fique a seu benefício. Evidentemente que o processo é exigente, o conhecimento não é barato, tem de ser valorizado, mas aquele que é produzido tem essa dignidade. Assim ficam enunciadas algumas metas ambiciosas a curto prazo, outras a médio prazo, mas, desde logo, criar o compromisso público para uma carta de ciência aberta em Portugal e, como aqui foi referido, marcar o passo e, sobretudo, não nos deixarmos ultrapassar por aquilo que, por circunstâncias e oportunidades, foram já determinadas em acompanhamento pela Comissão Europeia, que elegeu a questão do acesso aberto e da ciência aberta como uma das suas consignas no presente semestre.
153	P00006	P00606	Muito bem!
154	P00606	P00002	Conseguimos à última hora, diga-se em abono da verdade, inscrever uma ação que valoriza precisamente o trabalho excecional que tem sido desempenhado por alguns investigadores portugueses nessa partilha do conhecimento, assegurando a realização em Portugal de um evento preparatório da grande Conferência Europeia sobre Ciência Aberta. O que queremos é devolver à sociedade, é partilhar com a sociedade, um conhecimento que é de todos, mas que tem de estar para todos e ao serviço de todos.
155	P00001	P00608	Srs. Deputados, vamos passar ao período de debate propriamente dito. Estão inscritos para intervir vários Srs. Deputados. Tem a palavra, para uma intervenção, a Sr.ª Deputada Helena Freitas.
